=== ОТЧЕТ ДЕТЕКТИВНОГО АГЕНТСТВА ===
Общее количество улик: 200
  улика Лебедев (важность: 7)
  отпечаток Степанов (важность: 7)
  оружие скальпель (важность: 7)
  оружие след_шин (важность: 7)
  свидетель гильза (важность: 7)
  фото пуля (важность: 7)
  документ Соколов (важность: 7)
  вещдок фотография (важность: 7)
  алиби арматура (важность: 7)
  фото след_грязи (важность: 7)
  запись след_обуви (важность: 7)
  след пуля (важность: 7)
  оружие Морозов (важность: 7)
  улика Козлов (важность: 7)
  улика чертеж (важность: 7)
  вещдок окурок (важность: 7)
  фото имейл (важность: 7)
  свидетель кепка (важность: 6)
  алиби квитанция (важность: 6)
  документ Орлов (важность: 6)
  отпечаток карта (важность: 6)
  документ стружка (важность: 6)
  свидетель ордер (важность: 6)
  оружие дубина (важность: 6)
  оружие Волков (важность: 6)
  фото арматура (важность: 6)
  отпечаток стакан (важность: 6)
  запись Соколов (важность: 6)
  след Лебедев (важность: 6)
  оружие след_обуви (важность: 6)
  след нож (важность: 6)
  след список (важность: 6)
  запись записка (важность: 6)
  след Егоров (важность: 6)
  оружие отчет (важность: 6)
  оружие след_крови (важность: 6)
  фото Соколов (важность: 6)
  оружие кепка (важность: 6)
  свидетель молоток (важность: 5)
  оружие шарф (важность: 5)
  документ ткань (важность: 5)
  вещдок пистолет (важность: 5)
  запись конверт (важность: 5)
  вещдок Орлов (важность: 5)
  алиби ключ (важность: 5)
  след чек (важность: 5)
  след звонок (важность: 5)
  отпечаток перчатка (важность: 5)
  свидетель телефон (важность: 5)
  отпечаток Николаев (важность: 5)
  запись окурок (важность: 5)
  фото Волков (важность: 5)
  фото кольцо (важность: 5)
  улика перевод (важность: 4)
  фото транзакция (важность: 4)
  алиби письмо (важность: 4)
  улика Козлов (важность: 4)
  документ нож (важность: 4)
  свидетель отвертка (важность: 4)
  улика яд (важность: 4)
  запись топор (важность: 4)
  документ Степанов (важность: 4)
  оружие Петров (важность: 4)
  документ осколок (важность: 4)
  запись окурок (важность: 4)
  фото Соколов (важность: 4)
  алиби Николаев (важность: 4)
  запись Волков (важность: 4)
  след отчет (важность: 4)
  алиби протокол (важность: 4)
  отпечаток ботинок (важность: 4)
  фото ключ (важность: 4)
  запись Попов (важность: 4)
  след переписка (важность: 3)
  свидетель арматура (важность: 3)
  улика платеж (важность: 3)
  запись след_грязи (важность: 3)
  отпечаток след_шин (важность: 3)
  алиби удостоверение (важность: 3)
  вещдок ткань (важность: 3)
  алиби осколок (важность: 3)
  свидетель след_обуви (важность: 3)
  отпечаток волос (важность: 3)
  след Виноградов (важность: 3)
  алиби скальпель (важность: 3)
  вещдок гаечный_ключ (важность: 3)
  вещдок распечатка (важность: 3)
  вещдок пуля (важность: 3)
  оружие зажигалка (важность: 3)
  улика Петров (важность: 2)
  запись Сидоров (важность: 2)
  документ имейл (важность: 2)
  документ ткань (важность: 2)
  документ кредит (важность: 2)
  свидетель переписка (важность: 2)
  запись удостоверение (важность: 2)
  алиби инструкция (важность: 2)
  оружие транзакция (важность: 2)
  документ Соколов (важность: 2)
  улика протокол (важность: 2)
  алиби счет (важность: 2)
  запись Попов (важность: 2)
  отпечаток фотография (важность: 2)
  свидетель Семенов (важность: 2)
  документ монета (важность: 2)
  запись ботинок (важность: 2)
  запись перчатка (важность: 2)
  улика записка (важность: 2)
  алиби имейл (важность: 2)
  улика Виноградов (важность: 2)
  отпечаток яд (важность: 2)
  документ договор (важность: 2)
  отпечаток расписка (важность: 2)
  вещдок накладная (важность: 2)
  фото Иванов (важность: 2)
  фото Попов (важность: 1)
  вещдок конверт (важность: 1)
  документ чертеж (важность: 1)
  фото записка (важность: 1)
  фото монета (важность: 1)
  документ инструкция (важность: 1)
  алиби ботинок (важность: 1)
  вещдок ткань (важность: 1)
  вещдок схема (важность: 1)
  документ платеж (важность: 1)
  алиби счет (важность: 1)
  свидетель пуля (важность: 1)
  запись зажигалка (важность: 1)
  запись накладная (важность: 1)
  улика очки (важность: 1)
  свидетель отчет (важность: 1)
  запись фотография (важность: 1)
  фото телефон (важность: 1)
  фото чертеж (важность: 1)
  документ транзакция (важность: 1)
  улика кольцо (важность: 1)
  алиби зажигалка (важность: 1)

=== Средняя важность улик по каждой категории ===
  алиби: 4.80
  вещдок: 4.88
  документ: 4.71
  запись: 3.74
  оружие: 5.94
  отпечаток: 5.47
  свидетель: 6.30
  след: 6.71
  улика: 5.11
  фото: 6.07

=== Улики из категории "документ" ===
  ордер (важность: 10)
  след_обуви (важность: 10)
  след_крови (важность: 9)
  кредит (важность: 8)
  скальпель (важность: 8)
  смс (важность: 8)
  кепка (важность: 8)
  Соколов (важность: 7)
  Орлов (важность: 6)
  стружка (важность: 6)
  ткань (важность: 5)
  нож (важность: 4)
  Степанов (важность: 4)
  осколок (важность: 4)
  имейл (важность: 2)
  ткань (важность: 2)
  кредит (важность: 2)
  Соколов (важность: 2)
  монета (важность: 2)
  договор (важность: 2)
  чертеж (важность: 1)
  инструкция (важность: 1)
  платеж (важность: 1)
  транзакция (важность: 1)

=== ДОПОЛНИТЕЛЬНОЕ ЗАДАНИЕ: Сравнение алгоритмов сортировки ===
Сортировка пузырьком: 9681 перестановок
Сортировка вставками: 9681 перестановок

Вывод: Сортировка вставками в среднем эффективнее, так как:
  - Делает меньше перестановок
  - Лучше работает с частично упорядоченными данными
  - Не требует многократных проходов по всему массиву
